sentiments,cleaned_review
positive,wish would gotten one earlier love makes working laptop much easier
neutral,learned lesson open package use product right away ordered mouse august travel mouse packed away bag visiting family pnw since mid september mouse took charge worked fine couple weeks recharged mouse worked day two ceased function optical light flash turned nothing course return window well past
neutral,slow lags find better option
neutral,roller ball stopped working within months minimal use piece junk
neutral,like color size days return period hold charge
positive,overall love mouse size weight clicking fabulous however two middle scroller randomly fallen without rough use dropped literally even touching second time heard fall need use middle scroller lot recommend purchase use feature great mouse
neutral,stopped working
positive,son uses school issued chromebook school work hates using touch pad navigate mouse looked wireless mouse found one many good reviews unfortunately scrolling wheel already broken used month since uses school computer mostly stayed stored safely carrying case rough stored carefully use really disappointed loved color paid money earned helping grandmother summer campground email bottom mouse says lifetime replacement tried twice email keeps bouncing back undeliverable sure great product many likely got dud telling anyone buy sharing experience others consider
negative,loved cute little mouse broke months wheel broke gear
negative,spent money get quality product thing stopped working week worthless
neutral,beautifully produced lovely look mouse lights welcome addition otherwise drab workspace notice tends sleep mode quickly takes longer wake time expect screen busy windows cursor freezes position mouse fully comes back life frustrating anyone patient
negative,first one broke week sent replacement returned broken one still processed return new one broke weeks later would recommend mouse
negative,typically write reviews keep issue tech products amazon mouse stopped working months use charges sometimes get short term use glitchy lags across screen
neutral,liked wireless mouse however months roller mouse stopped working leaves able scroll look buying sturdy mouse
neutral,wheel mouse working anymore lasted months really nice mouse last
negative,nothing issues scroll wheel broke reason longer holds charge would recommend
neutral,recommend trying charge days
neutral,bought late june looks cool lights give warning battery low stops working kinds weird stuff clicking items etc late return well recommended
neutral,weeks scroll wheel stopped working returning
neutral,second time ordered mouse actually really like mouse except fact keep breaking order new one reason going give two stars ordered particular mouse two months ago already broken get money back
positive,excellent price
negative,disappointed mouse wheel broke months
neutral,felt like would break easily texture mouse would get dirty quickly
neutral,bought mouse december october matter long charge thing blink red light die recommend
negative,works nothing spectacular gamer use mouse quite bit charge day starts lagging causes things crash freeze due lag
negative,unfortunately mouse stopped working month use replace item get refund
negative,issues mouse dropped even ground accident course spin wheel left clicker broke ordered another one hope lasts longer one
neutral,bought months ago charge every day
positive,like design function frustrating
neutral,tried several different ways charge would hold charge minutes
neutral,bought mouse work laptop travel sites hate using pad built laptop cute little thinking using personal laptop gaming school work
positive,got two colors matched tablets easy transport right feel hand far work perfectly would consider great price
neutral,mouse wheel broke spins used work laptop loved quality buy another
neutral,liked product stopped working months later
positive,actually purchased two broke way scroller recommend need kind gaming requires scroller need use camera angles game without gameplay awful buying third one gon problem probably great hold charge well light show put really cool
neutral,easy use
positive,excellent product looking wireless mouse good price high load durability correct use work arcgis excellent service
neutral,lot reviewers said scroll wheel broke different usb mouse years without problem going back battery life also short constantly recharge
neutral,first time need change battery doesnt work anymore duro meses
neutral,quit working months get work anymore charging port messed unplugged
neutral,repeatedly without proper functioning mouse turned second turned right back plugged laptop overnight searched power issue reviews found one recommend product feel taken due
neutral,stopped working month received
neutral,work would charge
neutral,exactly needed favorite features quite clicks led lights
neutral,got less two months ago loved today broke touched wheel
positive,cute worked super well lasted weeks using stops hold charge stay course lasts beyond return take chance
neutral,already work
neutral,months loved roller scroll working
neutral,long usb adapter already broken mouse currently unusable macbook mouse decent seems hold charge long using
positive,purchased mouse back june year october battery life soo powerful color changing best experience could mouse believe happy purchase
negative,center scroll wheel broke weeks reason mouse dropped barely used garbage get pay
neutral,charged night last minutes mouse pretty design thin hold asked refund replaced
neutral,worked months charge overnight week work home used mouse work laptop several months stopped holding charge would charged daily charge work super annoying really need mouse order another one hoped would last lot longer months putting plastic landfill sucks
neutral,could think decent mouse price paid reality uncomfortable mouse barely works good thing mouse comes usb usb adapter comes handy
neutral,reasonably priced cordless rechargeable mouse button control scroll wheel preference rather macbookair track pad mac mouse desktop mac
neutral,would buy pretty really bling sleek
neutral,soft touch
neutral,scroll feature mouse broke weeks return period otherwise like
positive,nice mouse sure good gaming
neutral,cool easy use first broke weeks use
neutral,product simply work charger connection port mishapen
negative,hated item described easy use received mine connect research suppose compatible laptop order different one disappointed product
negative,feels cheap charge laptop plug desktop charge finally got charged die hours non continuous use getting returned
positive,first one weeks wheel broke loose would work received replacement two days perfect blame manufacturing issue love pink mouse highly recommend use hours day days week
neutral,works well purchased
negative,scroll interior post broke causing mouse longer work bought jan broke oct otherwise nice functioning overall
positive,purchased mouse wheel old one quit working loved design wanted another ordered received aug oct wheel quick working would recommend looking different mouse prefer scrolling feature
negative,item poorly made battery died within minutes full charge hours returned day delivered
neutral,mouse worked fine months charged every week charge via usb good option need something reliable
